@RELATION CommOps
@ATTRIBUTE text string
@ATTRIBUTE ModalVerbSignal {shall, will, may, might, can, must, could, would, should, requested, please, none}
@ATTRIBUTE ActionVerbSignal {yes, no}
@ATTRIBUTE TypeOfSubject {first, second, third, none}
@ATTRIBUTE NegativeVerbSignal {yes, no}
@ATTRIBUTE presentTenseVerbSignal {yes, no}
@ATTRIBUTE pastTenseVerbSignal {yes, no}
@ATTRIBUTE debtorPresent {yes, no}
@ATTRIBUTE creditorPresent {yes, no}
@ATTRIBUTE delegationSignal {yes, no}
@ATTRIBUTE deadlineSignal {yes, no}
@ATTRIBUTE createCommitmentPresent {yes, no}
@ATTRIBUTE bigramModalSecond {yes, no}
@ATTRIBUTE bigramFirstModal {yes, no}
@ATTRIBUTE bigramPleaseAction {yes, no}
@ATTRIBUTE questionMarkPresent {yes, no}
@ATTRIBUTE class {create, icreate, discharge, cancel, delegate, none}

@DATA
"The first one (as released) depicts the transactions by offer number as posted and awarded.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The second (breakdown by month) provides the information for each offer by month, the applicable rate charged based on index spreads and a recap of the value in excess of our max tariff rate.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I have also provided some footnotes on this report for your reference.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"If you need the exact language in the special terms of each offer released by PG&E, I can extract the individual award summaries as I have done previously in a similar request for Lindy Donoho.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Please let me know if you have any questions, need modifications or require additional data.",please,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Thanks,Elizabethx3-6928",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim,Thanks again to you and Lorraine for a wonderful time at lunch yesterday.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Ihope we can do it on a much more regular basis.",can,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Here is the web site withthe CEC report I was referring to yesterday.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I think this is a usefulreference; the FERC is giving it some serious thought as well.Amy  http://www.energy.ca.gov/reports/2001-05-22_200-01-001.PDF",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"FYI, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Glen,This is very interesting reading.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please read this (sorry, its kind of long) and let me know if it meshes with what you think is happening in California.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks for thinking of sending this to me as I always appreciate any California regulatory data.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This report came out in May and is known as the CECs White Paper on the CA Natural Gas Infrastructure.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"After Com.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Woods appointment at FERC, the CEC made sure he was aware of their paper and forwarded it to FERC.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The primary thrust of the paper is in line with our position that SoCal and PG&E need to expand their take-away capacity at the border.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Interestingly the FERC issued a similar finding after the Technical Conference on the same subject was held in Wash.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"DC.I dont expect the CEC to do much of anything with the paper beyond the press they got for identifying one of the causes for the price spike and a shortage of gas into the state.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Let me know if you have any other questions.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"gh",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I just got this and thought you might find it interesting as well.Amy--------- Inline attachment follows ---------From:  <Eric@EHirst.com>To: Eric@EHirst.comDate: Wednesday, August 1, 2001 12:16:55 GMTSubject: Dear Colleague,The Edison Electric Institute just published a paper, The CaliforniaElectricity Crisis: Lessons for Other States, which I wrote.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"The paper isavailable on the Publications page of my website, www.EHirst.com<http://www.ehirst.com/> .",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please let me know if you have any comments onthe paper.Here is a summary of the paper:        California was supposed to show the rest of the nation a brighterelectricity future.",please,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"That future, as outlined by the California PublicUtilities Commission in 1994, envisioned an electricity industry featuringcompetitive markets.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Such markets were intended to produce lower costs andmore choices for consumers, while ensuring profits for efficient energysuppliers and encouraging the retirement of old, inefficient power plants.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Although the first two years of restructuring (beginning in April1998) seemed to bear out these promises, the last year has been a disasterfor Californias electricity consumers, taxpayers, and electric utilities.Part of the fallout from Californias electricity crisis is considerableconcern-even opposition-in other states to restructuring the electricityindustry.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Although a few states have decided, based on the Californiaexperience, not to restructure, I believe that is the wrong outcome.Instead, the primary lessons other states should learn from California arethat competitive markets can work; competition is not to blame forCalifornias problems; and basic economic principles of supply, demand, andprices affect market outcomes.",should,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Section 2 of this paper briefly reviews the history of electricityregulation and restructuring in California and the problems that occurredbeginning in May 2000.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Section 3, the heart of this paper, offers guidanceto other states on the key ingredients of a competitive electricityindustry.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This section makes several points: *	Maintain a favorable investment and regulatory climate for newgeneration to ensure that enough generation capacity is online and plannedto meet growing loads. *	Ensure that enough infrastructure (transmission capacity and naturalgas pipeline capacity) is in place and planned to meet growing loads,maintain reliability, connect new generators to the grid, support largeregional markets, and provide fuel to power plants. *	Encourage retail customers to participate in dynamic-pricing andvoluntary-load-reduction programs (i.e., couple retail and wholesalemarkets). *	Create honest retail competition: avoid standard-offer rates withartificial discounts and create conditions that encourage many companies tooffer retail services without favoring individual competitors. *	Encourage electricity suppliers to manage and diversify their supplyand price risks. *	Create efficient and integrated wholesale markets for energy,ancillary services, and transmission congestion. *	Monitor and minimize horizontal market power (generation) andvertical market power (combined ownership and operation of generation andtransmission).",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Ultimately, competitive markets for electricity will lower costs andprices, better align consumer prices with producer costs, improve producerefficiency in both investment and operation, maintain or improvereliability, and yield greater innovation in customer services and pricingoptions.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"But, this transition from one industry structure to another isturning out to be long and complicated.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"It is complicated becauseelectricity is so important to our modern, high-tech society; electricity isour most flexible fuel, providing light, heat, motive power, and the energyto operate all our electronic equipment.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Also, electricity truly is areal-time product for which production and consumption must occur at the same time.",must,no,third,no,yes,no,yes,no,no,no,no,no,no,no,no,create
"Although the problems that have occurred in California aresubstantial and worrisome, regulators and legislators in other states shouldfocus on the long-term benefits of competitive electricity markets andaccept the possible short-term problems that may occur.",may,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"They also need torecognize that wholesale markets are regional in scope and extend far beyondthe boundaries of any single state.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Finally, competition in retail andwholesale markets must be coordinated; in particular, it is not possible tohave competitive wholesale markets unless at least some retail load facestime varying prices.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"If states restructure properly to create competitive markets forwholesale energy and retail services, we should all benefit.",should,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Consumers willenjoy lower prices, they will have many more choices of energy services andprice-risk tradeoffs, reliability will be improved because most reliabilityservices will be obtained through markets instead of by engineering edict,and the financial risks associated with building and operating power plantswill be assigned properly to investors rather than consumers.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Eric----------------------------------------------Eric Hirst Consulting in Electric-Industry Restructuring106 Capital CircleOak Ridge, TN 37830*865-482-5470 (phone & fax)    *Eric@EHirst.comhttp://www.EHirst.com <http://www.ehirst.com/>",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"FYI, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Glen,Interesting reading from one of our customers.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim,Here is the WS10CC report from ENA on status of new generation facilities.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The status on EAMR is that I am in the process of finalizing the writeup on power plant services that I promised you a copy of.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We have been working very closely with John Dushinskes group on 3 new projects off of NNG where EAMR would potentially build or provide services for new laterals to new power plants.",would,no,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"The projects are Lincoln Electric System (6.5 miles), Omaha Public Power (<1 mile) and Mid American (12 miles).",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"On LES, the customer went out with an RFP for the design, ROW and construction management only.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"On OPP, Chuck Wilkinson is his proposal to the customer gave 3 options: 1) NNG builds and owns with customer paying overheads and tax gross up, 2) NNG rolls project into rates (cost still includes overheads but no tax gross up) and 3) customer owns and EAMR builds and possibly operates facility.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"The proposal for OPP is similar to MidAm.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We have found that options 1) and 2) are fast and easy because Level A cost estimates can be used, however, for option 3, a much more detailed bid is required which is sort of like a Level B+ estimate, which is more detailed than normal Level B estimates.",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"We are working through the process and various issues for option 3.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"To get definitive bids for option 3, a 30 to 45 day lead time is required.This ground work for NNG will come in handy on TW projects.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"NOTE: 	The current report has one major change .",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Plants that are permitted now have a 50% probability of coming		online rather than the previously assumed 80%.In an attempt to keep this report as timely and accurate as possible, please notify me of any updated information and/or inaccuracies.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Thank you.Jeffrey OhEnron North America			503.464.7789West Power Desk				503.708.1760 (c)	121 SW Salmon Street 3WTC0306		503.464.3740 (fax)Portland, Oregon 97204			jeffrey.oh@enron.com",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Attached is the Transwestern Capacity Release Report that provides billing information for July 2001 reservation invoices.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please be advised that the PG&E (Core) releases exceeded the maximum tariff rate as summarized below (the first three were special calculations based on index spreads and the last one was a fixed rate):PG&E Energy Trading-Gas Corporation           60,000/day * 31 days * $0.7081  $1,317,066.00 Sempra Energy Trading Corp.                           15,000/day * 31 days * $1.9951  $   927,721.50 Texaco Natural Gas, Inc.                                  50,000/day * 31 days * $0.7468  $1,157,540.00Duke Energy Trading and Marketing, LLC        25,000/day * 31 days * $1.1600  $  899,000.00. ",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"These amounts will be billed to the acquiring shippers and once payments are received, PG&E will subsequently receive reimbursement.",will,no,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Feel free to contact me should you have any questions.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Thanks,Elizabeth",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Attached is the Transwestern Capacity Release Report that provides billing information for July 2001 reservation invoices.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please be advised that the PG&E (Core) releases exceeded the maximum tariff rate as summarized below (the first three were special calculations based on index spreads and the last one was a fixed rate):PG&E Energy Trading-Gas Corporation           60,000/day * 31 days * $0.7081  $1,317,066.00 Sempra Energy Trading Corp.                           15,000/day * 31 days * $1.9951  $   927,721.50 Texaco Natural Gas, Inc.                                  50,000/day * 31 days * $0.7468  $1,157,540.00Duke Energy Trading and Marketing, LLC        25,000/day * 31 days * $1.1600  $  899,000.00These amounts will be billed to the acquiring shippers and once payments are received, PG&E will subsequently receive reimbursement.Feel free to contact me should you have any questions.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Thanks,Elizabeth",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Greg and Maria, FYI.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Here is a report for the July Capacity Releases on TW.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"PG&E, Sempra and Texaco all released on an Index to Index spread and are above max rate.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Elizabeth has the history of TW Capacity Releases if you think it might help in the preparation of our strategy for negotiated rates.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Yes, I think it would be helpful if Elizabeth can provide detail on capacity releases from Feb 2001- to July or August 2001.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Maria",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Once she has these dates,  Id like to see from 11/00 to 2/01 which may show a change in value also.",may,no,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"MK",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Elizabeth, Please read below.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Can you help us put together a summary of the TW Capacity Releases from Nov. 00 to Aug. 01?",can,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,icreate
"We are in the process of putting our strategy together on our Neg.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Rate hearing.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Is it possible to assemble this soon?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Please give me a call if you would like to discuss.",would,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,create
"Many thanks,Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"El Paso Field Services - EPFS has contacted TW with interest in tying in the Blanco and Chaco Plants on the San Juan Lateral.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"A tentative meeting has been scheduled for 8/10 to meet with EPFS to discuss locations and cost estimates.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"(I need Ron to go with me).Amoco Florida - BP has requested TW consider increasing the meter at the Amoco Florida Plant.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Currently, it is sized for receipts of 165,000 MMB tu/d and BP is interested in doubling the size of the interconnect.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I am waiting on a Facility Planner.Red Rock filing - a filing was made on 7/31 to FERC requesting approval to utilize an incremental 5 acres at each station for construction purposes.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"A Directors Letter must be received because of this change in our construction procedures and is expected to be issued by FERC within 2 to 3 weeks.NGPL Eddy - I have received Facility Plannings preliminary comments on the Interconnect Agreement and am still awaiting Legals comments in order to return TWs comments to NGPL.",must,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Energy Development Group - I have attempted to continue to try to work with EDG to locate TWs pipe in specific locations in AZ and NM in order for them to better site power plants off TW.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"This week there have been no Facility Planners to help me with this and I have a call into Tiny for assistance.Lorraine",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Lorraine, When you get back in the office, lets talk about the new interest to connect into the SJ Hub.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I, too, have a few customers who are interested in connecting into the Hub.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We should generally discuss this from a big picture perspective so we can understand the total limitations of the Hub and lay out our strategy for moving forward.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Also, FYI, in your EDG comment below, our pipeline profile has all the lat/long locations specified if that helps identify the locations best for power plant sites.Thanks, Kim.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"I will will try to have them by 4:00pm.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim, would you be able to pull all of the bullets together by this afternoon.",would,yes,second,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,icreate
"Steve is thinking about taking a vacation day on tomorrow.adrAudrey D.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Calpine - Meet with Calpine to discuss Red Rock FT.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Calpine has been allocated 33,529 MMBtu out of their 40,000 MMBtu Red Rock contract for receipts from the West Texas Pool.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"They have indicated this is not satisfactory and may pursue (Im not sure how) this in the future.",may,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"We are still working towards designating specific receipt points for their entire MDQ.SoCal - Jeff Dasovitch made initial contact with the CPUC about SoCals unwillingness to confirm TW volumes at the SoCal Topock point on an alternate basis.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"He would like TW to continue in its efforts to keep these discussions going as well.",would,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"(Rick Ishikawa is out on vacation this week and I have a call into him.)",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This week, Richardson Products contacted So Cal about this issue as well.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Calpine is also interested in having the flexibility under its Red Rock contract to deliver gas to Socal Topock (on an alternate basis) and is meeting with SoCal next week and will discuss this with them.OBAs - I have made initial contact with all my volumetric OBA parties to begin discussions on resolving payback and going forward on the tariff OBA.Lorraine",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Audrey, Lorraine is providing bullets for the team this week.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Audrey,Lorraine will be coordinating bullets for me tomorrow.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks for the reminder.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Im looking for the list now, I will bring it over.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"K.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim, thanks for the heads up.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"By the way, are we going to mail out any cards this year?",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,yes,none
"Audrey D.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Would you please send me your bullets by the end of today (before we leave for the Cirque show).",would,yes,second,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,icreate
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim, Steve has a doctors appt on tomorrow at noon.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I would like to have him review the bullets before he leaves at 11:00a.",would,no,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Would you be able to forward the bullet items to me by 10:00a?",would,yes,second,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,icreate
"Thanks in advance,adrAudrey D.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Audrey,Would you please email me the final bullets from last week.",would,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,icreate
"I dont necessarily go look for the final copy since I am the one who combines all the bullets.Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Audrey,As a matter of practice, would you automatically email me the final bullets document after Steve approves?",would,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,icreate
"I will then save it in my word file and use it to start the next weeks bullets.Thanks, Kim.  :>)",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Please send me your bullets ASAP this morning.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"If you have no bullets to report, please reply to me that you have none.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Everyone -- If you need to reach me....",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"My new cell phone number is 281-808-4930.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jean x51615",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"As of today, I can be reached via cell phone at 713-859-6238.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This is not a Nextel phone.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jean",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"New Peaking Rate for SoCalGas Could Spur Bypass After various fits and starts surrounding the issue over a number of months, California regulators Thursday established an alternative demand stand-by charge, called a peaking rate, for Southern California Gas Co., which could open up the utility to economic bypass by interstate pipeline projects lined up and ready to go at the border.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"The California Public Utilities Commission (CPUC) rejected the utilitys own proposal as anti-competitive.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This case has been very contentious, said the lead commissioner assigned to the case, Richard Bilas.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"For the most part, the response to SoCals application was negative.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Noting active opposition from large end-users, merchant generators and interstate pipelines, Bilas said that it is difficult to find an ideal peaking rate for gas.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"CPUC President Loretta Lynch dropped an alternate proposal to support Bilas.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Ideally, the regulators are trying to keep the utility and its captive customers whole, while not deterring the option of what they call economic bypass, said Bilas, noting that SoCalGas proposals did not reflect market reality.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"The new rate calculation is very complex, and potential competitors have yet to comment on its impact.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"A number of proposed interstate pipelines are lined up at the border awaiting a decision which would make it economic for them to proceed into SoCalGas territory, including an expansion of Mojave to Sacramento, Questar Corp.s proposed Southern Trails oil-to-natural gas converted pipeline from the Four Corners area to Long Beach, and Kinder Morgan and Calpines Sonoran pipe to San Francisco.Up to this point the utilitys residual load service (RLS) charges -- which customers of other pipelines had to pay in addition to charges paid to the transporting pipelines -- made it uneconomic to sign up on other lines.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Called on by the CPUC to come in with a more moderate system, SoCalGas had proposed replacing the RLS charge with a peaking charge that customers said was just as onerous.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"The CPUC made its decision on a revised peaking charge unanimously on a 4-0 vote, with one of the five-member bodys commissioners absent.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The CPUC action establishes a peaking rate for SoCalGas customers who want to take only partial service from the utility and get their baseload service from another pipeline.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Customers will be required to pay a monthly demand charge, public goods charge collected on a volumetric basis (so if there is no use, there is no charge), a reservation charge with a complex formula, and an interruptible peaking rate for volumes actually received.",will,no,third,no,no,no,no,no,no,no,no,no,yes,no,no,create
"Peaking customers will be subject to daily balancing and a credit for service interruptions of firm capacity, which will apply to both new and existing facilities.",will,no,third,no,yes,no,yes,no,no,no,no,no,yes,no,no,create
"The new rate contrasts to the rate design in place for SoCalGas standard full-requirements firm-load customers who pay for priority on a volumetric basis, Lynch said.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We are changing the peaking rates so that customers not taking their full service from the utility will only pay for the amount of capacity they use on any given day.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"The challenge for the CPUC in this case was to establish a peaking tariff for natural gas service that fairly compensates SoCalGas for standing ready to serve the peak needs only of some customers, while those customers go off its system for their baseload needs, but also to develop a tariff that allows SoCalGas to be able to compete with some of the energy company pipelines that plan to enter into SoCals service territory.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Were trying to encourage and promote additional natural gas resources without encouraging cherry picking or overbuilding for which core customers would end up paying for, Lynch added.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Glen,Can you help interpret this impact of this decision on California customers for us?",can,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,icreate
"Since we are looking at the Southern Trails system again, is this really good for them?",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,yes,none
"Exactly what is the rate the peaking customer would be charged?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Many thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Further to our discussions yesterday, attached is a draft letter agreement under which Transwestern would agree to terminate the Mavrix transportation contracts.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Note that Mavrix is required to indemnify TW for any revenue shortfall if the turned back capacity is not purchased by another customer at the same or better rate within 60 days.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I believe this approach allows TW to accomodate Mavrixs request to terminate without TW taking any financial risk or exposing itself to requests from other shippers that TW release them from their contract obligations without penalty.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Upon execution of the letter agreement, the capacity will be posted on the TW bulletin board as generally available capacity.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"There is some chance that a customer interested in the capacity will want to know where it came from.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"I would suggest that the appropriate and accurate explanation is that  capacity becomes available from time to time for a variety of reasons including contract expirations or terminations, waivers or expirations of ROFR rights, and contract MDQ stepdowns.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Such capacity is posted on the EBB as soon as Transwestern becomes aware of its availabity.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"If the questioning customer wants to know whos space it was, I believe it is our consistent policy to not disclose any information about any shippers contract to any other shipper and that policy should be followed here as well.",should,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Of course, if the Commissions Market Monitoring group or other FERC personnel call, the confidentiality problem does not arise and the shippers identity should be disclosed.",should,yes,third,no,yes,no,no,no,no,no,no,no,no,no,no,none
"The explanation in that circumstance, if the caller wants more detail, is that Mavrix is an Enron affiliate that was in the business of trading interstate pipeline capacity but is winding down its business and terminating its contracts.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
